user_id,product_id,preference_score
1,163,0.94
1,832,0.33
1,904,0.83
1,621,0.99
1,695,0.24
1,986,0.51
1,332,0.21
1,428,0.57
1,497,0.32
1,187,0.28
1,390,0.8
1,199,0.54
1,275,0.81
1,759,0.26
1,698,0.66
1,387,0.86
1,288,0.88
1,465,0.96
1,803,0.96
1,475,0.89
1,599,0.99
1,157,0.58
1,753,0.24
1,674,0.92
1,137,0.57
1,856,0.83
1,956,0.47
1,379,0.2
1,441,0.55
1,76,0.24
1,401,0.68
1,977,0.52
1,342,0.59
1,550,0.66
1,317,0.81
1,406,0.55
1,536,0.48
1,862,0.96
1,930,0.83
1,292,0.21
1,606,0.12
1,144,0.78
1,842,0.16
1,222,0.46
1,37,0.34
1,311,0.35
1,88,0.12
1,712,0.33
1,902,0.85
1,761,0.6
1,589,0.13
1,658,0.86
1,885,0.52
1,613,0.86
1,336,0.72
1,398,0.97
1,240,0.88
1,898,0.47
1,234,0.44
1,558,0.97
1,24,0.23
1,968,0.68
1,478,0.48
1,226,0.72
1,381,0.85
1,688,0.26
1,713,0.11
1,610,0.68
1,456,0.42
1,719,0.85
1,686,0.27
1,776,0.77
1,595,0.3
1,958,0.37
1,671,0.35
1,405,0.12
1,827,0.41
1,659,0.68
1,363,0.65
1,601,0.57
1,818,0.55
1,480,0.51
1,190,0.52
1,281,0.23
1,511,0.73
1,937,0.54
1,805,0.26
1,976,0.55
1,588,0.52
1,865,0.9
1,770,0.63
1,998,0.56
1,319,0.82
1,604,1.0
1,46,0.58
1,829,0.98
1,294,0.76
1,634,0.52
1,79,0.58
1,183,0.59
2,902,0.66
2,197,0.1
2,801,0.16
2,638,0.92
2,283,0.48
2,556,0.9
2,535,0.65
2,630,0.29
2,58,0.62
2,358,0.77
2,879,0.16
2,573,0.67
2,920,0.78
2,362,0.79
2,346,0.39
2,117,0.9
2,149,0.36
2,29,0.62
2,132,0.78
2,796,0.8
2,233,0.83
2,324,0.34
2,837,0.46
2,766,0.73
2,5,0.76
2,507,0.78
2,524,0.14
2,607,0.55
2,821,0.95
2,585,0.87
2,521,0.5
2,613,0.1
2,464,0.74
2,26,0.64
2,383,0.83
2,551,1.0
2,639,0.61
2,213,0.55
2,397,0.4
2,660,0.3
2,598,0.55
2,124,0.54
2,379,0.94
2,339,0.42
2,139,0.97
2,175,0.49
2,144,0.5
2,894,0.86
2,962,0.86
2,403,0.14
2,582,0.79
2,578,0.89
2,501,0.7
2,34,0.57
2,153,0.67
2,515,1.0
2,199,0.43
2,337,0.48
2,646,0.46
2,731,0.89
2,157,0.81
2,676,0.14
2,380,0.59
2,761,0.93
2,66,0.9
2,172,0.84
2,614,0.64
2,652,0.83
2,437,0.33
2,580,0.5
2,739,0.98
2,906,0.75
2,830,0.3
2,783,0.44
2,864,0.32
2,223,0.42
2,81,0.3
2,769,0.57
2,522,0.9
2,67,0.83
2,393,0.92
2,816,0.22
2,466,0.86
2,73,0.73
2,520,0.34
2,454,0.92
2,705,0.7
2,785,0.86
2,267,0.39
2,295,0.27
2,768,0.13
2,266,0.52
2,897,0.12
2,929,0.68
2,243,0.11
2,311,0.43
2,168,0.45
2,378,0.66
2,640,0.31
2,758,0.47
3,76,0.91
3,46,0.57
3,125,0.72
3,407,0.84
3,764,0.63
3,373,0.25
3,588,0.88
3,496,0.77
3,994,0.16
3,993,0.36
3,907,0.93
3,82,0.57
3,334,0.44
3,917,0.22
3,232,0.96
3,434,0.87
3,863,0.26
3,438,0.9
3,254,0.84
3,617,0.49
3,195,0.35
3,722,0.71
3,248,0.44
3,330,0.33
3,939,0.91
3,293,0.31
3,96,0.2
3,482,0.71
3,142,0.48
3,408,0.32
3,454,0.37
3,174,0.78
3,500,0.45
3,667,0.48
3,520,0.47
3,303,0.32
3,890,0.6
3,43,0.2
3,59,0.62
3,650,0.68
3,668,0.94
3,288,0.44
3,776,0.18
3,901,0.72
3,75,0.82
3,680,0.88
3,402,0.19
3,423,0.63
3,85,0.71
3,199,0.6
3,437,0.98
3,751,0.64
